id;display_name;manufacturer;name;powder_type_normalized;grain_shape_normalized;burn_rate;relative_burn_rate;quickload_ba_value;qex_kj_per_kg;k_ratio;a0;z1;z2;eta_cm3_per_kg;pc_kg_m3;pcd_kg_m3;pt_c;density_gcc;grain_size_mm;temp_stable;temp_coefficient_fps_per_f;loading_density_optimal_percent;velocity_potential;optimal_bullet_weight_range;suitable_for_cartridges;usable_for_simulation;validation_status;lot_number;source_display;evidence_level;notes
60;Alliant Blue Dot;Alliant;Blue Dot;;;1.5455;1.5455;1.5455;4380.0;1.2201;1.9791;0.2104;0.8073;1.0;1630.0;775.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-27-DEV;Internal reference seed;memory_extracted;Imported from internal reference seed.
61;Alliant Bullseye;Alliant;Bullseye;;;3.4918;3.4918;3.4918;4580.0;1.2104;2.0822;0.1287;0.8209;1.0;1610.0;615.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
62;Alliant Bullseye (approx.);Alliant;Bullseye (approx.);;;3.6079;3.6079;3.6079;4580.0;1.2044;2.0822;0.1287;0.8209;1.0;1610.0;615.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
63;Alliant Green Dot;Alliant;Green Dot;;;2.9081;2.9081;2.9081;4150.0;1.2123;11.0724;0.1454;0.8328;1.0;1380.0;520.0;21.0;;;1;;;;;;1;memory_extracted;2020-DEV-1;Internal reference seed;memory_extracted;Imported from internal reference seed.
64;Alliant Power Pistol;Alliant;Power Pistol;;;2.2259;2.2259;2.2259;4910.0;1.2004;0.3941;0.2329;0.7295;1.0;1690.0;756.0;21.0;;;1;;;;;;1;memory_extracted;2020-03-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
20;Alliant RL 25;Alliant;RL 25;;;Ba 0.3440;0.344;0.344;3810.0;1.2318;2.3964;0.6264;0.689;1.0;1620.0;915.0;21.0;;;1;;;;;;1;verified_seed;2023/04/01;grt_databases;simulation_seed;grt_databases
21;Alliant RL 33;Alliant;RL 33;;;Ba 0.2480;0.248;0.248;3900.0;1.2155;6.3434;0.5131;0.5645;1.0;1620.0;1011.0;21.0;;;1;;;;;;1;verified_seed;2023/03/26;grt_databases;simulation_seed;grt_databases
19;Alliant Red Dot;Alliant;Red Dot;;;Ba 3.4000;3.4;3.4;4538.0;1.2205;5.3606;0.1899;0.3999;1.0;1640.0;458.0;21.0;;;1;;;;;;1;verified_seed;2023/06/21;grt_databases;simulation_seed;grt_databases
65;Alliant Reloder 10x;Alliant;Reloder 10x;;;0.6885;0.6885;0.6885;3850.0;1.2298;2.5254;0.3837;0.8296;1.0;1590.0;885.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
12;Alliant Reloder 15;Alliant;Reloder 15;Double-base;;0.5874;0.5874;0.5874;3990.0;1.2118;1.2383;0.4072;0.8059;1.0;1620.0;935.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-09;Internal reference seed;memory_extracted;Good all-rounder
10;Alliant Reloder 16;Alliant;Reloder 16;TZ (Temp stable);;0.4735;0.4735;0.4735;3860.0;1.2338;1.7895;0.4777;0.8033;1.0;1620.0;900.0;21.0;;;1;;;;;;1;memory_extracted;2020-12-01;Internal reference seed;memory_extracted;Great temp stability
11;Alliant Reloder 17;Alliant;Reloder 17;TZ (Temp stable);;0.5026;0.5026;0.5026;4000.0;1.2211;0.1301;0.6358;0.8209;1.0;1540.0;995.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-05;Internal reference seed;memory_extracted;Popular for 6.5mm
66;Alliant Reloder 19;Alliant;Reloder 19;;;0.4498;0.4498;0.4498;3980.0;1.2322;0.4699;0.5021;0.8388;1.0;1600.0;940.0;21.0;;;1;;;;;;1;memory_extracted;2020-08-01;Internal reference seed;memory_extracted;Imported from internal reference seed.
67;Alliant Reloder 22;Alliant;Reloder 22;;;0.4074;0.4074;0.4074;3820.0;1.2321;1.1379;0.5518;0.8327;1.0;1600.0;940.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-27;Internal reference seed;memory_extracted;Imported from internal reference seed.
68;Alliant Reloder 23;Alliant;Reloder 23;;;0.4153;0.4153;0.4153;3800.0;1.2327;1.9981;0.6261;0.8758;1.0;1620.0;920.0;21.0;;;1;;;;;;1;memory_extracted;2020-04-08;Internal reference seed;memory_extracted;Imported from internal reference seed.
69;Alliant Reloder 26;Alliant;Reloder 26;;;0.3404;0.3404;0.3404;3900.0;1.2367;2.8981;0.6261;0.8528;1.0;1600.0;994.0;21.0;;;1;;;;;;1;memory_extracted;2021-10-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
70;Alliant Reloder 33;Alliant;Reloder 33;;;0.2703;0.2703;0.2703;3900.0;1.2332;2.9061;0.5588;0.8455;1.0;1600.0;980.0;21.0;;;1;;;;;;1;memory_extracted;2021-DEV-1;Internal reference seed;memory_extracted;Imported from internal reference seed.
71;Alliant Reloder 7;Alliant;Reloder 7;;;0.6943;0.6943;0.6943;3800.0;1.2218;2.9254;0.4015;0.7764;1.0;1440.0;890.0;21.0;;;1;;;;;;1;memory_extracted;2019-12-17;Internal reference seed;memory_extracted;Imported from internal reference seed.
72;Alliant Reloder TS 15.5;Alliant;Reloder TS 15.5;;;0.5319;0.5319;0.5319;3900.0;1.2341;1.4053;0.4868;0.7843;1.0;1620.0;905.0;21.0;;;1;;;;;;1;memory_extracted;2021-09-30;Internal reference seed;memory_extracted;Imported from internal reference seed.
73;Alliant Unique;Alliant;Unique;;;2.3622;2.3622;2.3622;4570.0;1.2206;5.6252;0.2008;0.6457;1.0;1630.0;593.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-05;Internal reference seed;memory_extracted;Imported from internal reference seed.
74;Alliant Varmint;Alliant;Varmint;;;0.5021;0.5021;0.5021;3680.0;1.2406;3.0118;0.4715;0.8005;1.0;1580.0;996.0;21.0;;;1;;;;;;1;memory_extracted;2020-02-DEV-1;Internal reference seed;memory_extracted;Imported from internal reference seed.
75;Baschieri & Pellagri BP 100 Light Pistol;Baschieri & Pellagri;BP 100 Light Pistol;;;3.833;3.833;3.833;3700.0;1.2384;1.2601;0.2595;0.8345;1.0;1380.0;550.0;21.0;;;1;;;;;;1;memory_extracted;2020-08-01;Internal reference seed;memory_extracted;Imported from internal reference seed.
76;Baschieri & Pellagri BP 106 Light Rifle;Baschieri & Pellagri;BP 106 Light Rifle;;;0.9217;0.9217;0.9217;3580.0;1.2212;-0.3336;0.3799;0.815;1.0;1680.0;990.0;21.0;;;1;;;;;;1;memory_extracted;2020-09-11;Internal reference seed;memory_extracted;Imported from internal reference seed.
77;Baschieri & Pellagri BP 107 Medium Rifle;Baschieri & Pellagri;BP 107 Medium Rifle;;;0.6545;0.6545;0.6545;3700.0;1.2352;0.4112;0.4858;0.8516;1.0;1650.0;990.0;21.0;;;1;;;;;;1;memory_extracted;2020-09-28;Internal reference seed;memory_extracted;Imported from internal reference seed.
